"uniqueid","highest_severity_rank","max_charge"
11715713,6,10
11715721,6,2
11715726,5,2
11715730,4,2
11715733,6,5
11715741,4,2
11715751,6,1
11715768,6,2
11715782,5,3
11715786,6,2
11715789,6,1
11715791,4,2
11715807,4,2
11715810,5,2
11715815,4,4
11715927,6,4
11715945,5,4
11715961,4,1
11715965,5,2
11716000,5,2
11716013,6,6
11716034,5,3
11716056,6,1
11716063,6,1
11716068,5,2
11716137,5,1
11716158,5,1
11716190,6,8
11716205,4,4
11716207,3,1
11716219,5,1
11716224,5,2
11716227,5,6
11716233,4,5
11716235,5,2
11716240,4,2
11716264,5,3
11716265,5,5
11716278,4,1
11716290,7,1
11716317,6,6
11716318,5,4
11716334,4,5
11716348,7,5
11716351,6,7
11716373,4,2
11716379,4,2
11716399,5,6
11716414,5,3
11716416,6,3
11716444,4,2
11716448,5,2
11716456,6,10
11716461,6,5
11716468,5,5
11716475,5,1
11716494,6,4
11716498,5,1
11717387,6,2
11717399,5,5
11717402,5,1
11717409,5,2
11717431,5,2
11717435,5,5
11717437,5,1
11717440,5,1
11717457,6,1
11717459,5,2
11717479,4,4
11717494,5,7
11717519,5,11
11717525,6,5
11717530,4,1
11717535,5,1
11717540,6,4
11717549,5,4
11717550,5,2
11717552,4,2
11717561,4,3
11717572,5,4
11717578,4,3
11717610,5,2
11717634,7,3
11717640,6,11
11717642,4,1
11717647,6,3
11717649,4,2
11717650,5,6
11717664,5,3
11717670,4,2
11717671,5,4
11717676,6,4
11717682,7,4
11717683,6,5
11717694,5,1
11717697,4,2
11717715,4,1
11717722,6,9
11717733,5,1
11717741,5,3
11717746,5,5
11717751,5,3
11717792,5,10
11717809,5,3
11717825,5,2
11717868,4,2
11717909,6,1
11717912,4,1
11717941,5,1
11717957,5,1
11717962,7,1
11717971,5,5
11718287,4,1
11718291,4,2
11718305,5,2
11718308,6,7
11718321,3,2
11718344,5,3
11718367,4,1
11718381,6,13
11718382,5,2
11718383,4,1
11718400,6,4
11718401,5,10
11718422,4,2
11718423,4,5
11718432,6,4
11718454,7,2
11718455,4,3
11718458,7,6
11718465,4,1
11718477,5,1
11718496,4,1
11718498,6,2
11718504,6,1
11718522,5,4
11718536,5,1
11718545,5,3
11718552,6,2
11718570,5,1
11718639,5,1
11718674,5,1
11718675,5,7
11718706,6,7
11718708,6,4
11718732,5,5
11718748,4,2
11718752,7,2
11718757,5,5
